"Número de cliente","Razón social","Tipo de documento","Número de documento","Telefono","Correo","Localidad","Partido","Provincia","Importancia","Rubro","Zona","Responsable 1","Responsable 2"
"12050","ACEROTUB S.R.L.","CUIT","30715902911","4302-7210/4303-2036","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CILINDRO HIDRAULICO","CAPITAL FEDERAL","",""
"12790","ACETOP S.A","SIN IDENTIFICAR","0000003","[]","","","","","","","","",""
"11977","ACHERAL S.A.","CUIT","33708668759","9 3863 697 012 / 9 381 4628 800 / 9 381 640-1288","","ACHERAL","MONTEROS","TUCUMAN","BAJA","CONDUCCION","ZONA NORTE","Iglesias Gustavo",""
"11300","ACIMA R SA","CUIT","30614476660","3414664040","","","","","","","","",""
"10041","ACINDAR GRUPO ARCELOR MITTAL","CUIT","","03400-478200","","VILLA CONSTITUCION","CONSTITUCION","SANTA FE","","CILINDRO HIDRAULICO","CAPITAL FEDERAL","",""
"12080","ACINPETROL S.R.L.","CUIT","30714454249","4696-7298/011155476-2383/3981-4048","","CASTILLO, RAFAEL","LA MATANZA","BUENOS AIRES","","CILINDRO HIDRAULICO","ZONA OESTE","",""
"13139","ACLADE SRL","CUIT","30595711246","[]","","","","","","","","Benitez Enzo",""
"10875","ACM S.A. (NO ES MET. ACM)","CUIT","30701508293","(0341)492-9395/(0341)492-9395","","VILLA GOBERNADOR GALVEZ","ROSARIO","SANTA FE","","","CAPITAL FEDERAL","",""
"12614","ACONTIMBER S.A.U","CUIT","","[]","","","","","","","","",""
"13033","ACOPLADOS RURALES SA","CUIT","30707586083","[]","","","","","","","","",""
"10482","ACOPLADOS SALTO","CUIT","30504996588","4923-4215","info@salto.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12989","ACQUATERM S.R.L.","CUIT","30707910654","[]","","","","","","PARA CALDERAS","","",""
"10879","ACQUATRON S.A.","CUIT","","4776-0101/4773-2584","acquaron@arnet.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12284","ACROM REPUESTOS","CUIT","","4712-3672","","SANTOS LUGARES","TRES DE FEBRERO","BUENOS AIRES","","","","",""
"10043","ACTOS RABBONI S.C.A.","CUIT","30691167840","11-44978077 tiene wahtsapp","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","GNC","CAPITAL FEDERAL","",""
"11860","ADANO JORGE ENRIQUE (THEU´S ILUMINACION)","CUIT","20041222795","4602-5077","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12549","ADENER S.A.","CUIT","33714309779","[]","","TABLADA","LA MATANZA","BUENOS AIRES","","","","",""
"11068","ADIGRA OLEOHIDRAULICA","CUIT","20045432654","4488-3355-4653-2692","","","","","","ESTRUCTURAL","ZONA TRAFICAÑO","",""
"12910","ADITA S R L","CUIT","30504190702","[]","","","","","","","","",""
"12207","ADRIAN FREIRE","CUIT","20335527802","54373534","","","","","","","","",""
"12911","AERCOM S.A","CUIT","30707457887","[]","","","","","","","","",""
"11253","AES ARGENTINA GENERACIÓN SA","CUIT","","(0336)448-7189","","SAN NICOLAS DE LOS ARROYOS,EST.S.NICOLAS","SAN NICOLAS","BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12602","AF CONSTRUCCIONES Y SERVICIOS SRL","CUIT","30712217509","[]","","","","","","","ZONA SUR","",""
"10044","AFFLITTO E HIJOS","CUIT","30625921674","4683-6977","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CONDUCCION","CAPITAL FEDERAL","",""
"10045","AFNE","CUIT","","0221-4690017/4690023/4690332","","ENSENADA","ENSENADA","BUENOS AIRES","","ESTRUCTURAL","ZONA SUR","",""
"10060","AFRAN S.A.(EX AVCO)","CUIT","30690792016","02322-423551","","PILAR","LAS COLONIAS","SANTA FE","","CUPLAS","ZONA NORTE","",""
"12730","AGENCIA MARITIMA INTERNACIONAL","CUIT","30585343427","[]","","","","","","","","",""
"11188","AGIRA S.A.","CUIT","30628274327","6334-0000INT114(ANIBALMULLER)","","EL TALAR","TIGRE","BUENOS AIRES","","","ZONA NORTE","",""
"11359","AGOSTINELLI ALEJANDRO DANIEL","CUIT","20142143977","4454-0795","","TABLADA","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"12883","AGRIN SA","CUIT","30655620792","[]","","","","","","","","",""
"12017","AGRINAR S.A.","CUIT","30708074167","(0341)410-7147/(0341)410-700","","GRANADERO BAIGORRIA","ROSARIO","SANTA FE","","ESTRUCTURAL","","",""
"11143","AGRITECH S.R.L. (G&P IMPLEMENTOS)","CUIT","30711887780","(03472)44-4443/(03472)15-46-8428","gyp@coyspu.com.ar","JUAREZ, MARCOS","MARCOS JUAREZ","CORDOBA","","","CAPITAL FEDERAL","",""
"11852","AGRO DOS MIL S.A.","CUIT","30691595893","03468-434894","","GENERAL BALDISSERA","MARCOS JUAREZ","CORDOBA","","","","",""
"10960","AGRO PLA S.R.L.","CUIT","30673855179","03471-451655/451618/452269","","LAS ROSAS","BELGRANO","SANTA FE","","ESTRUCTURAL","CAPITAL FEDERAL","",""
"13078","AGRO SELEME SRL","CUIT","30710060971","0381-4210507/16  /0381-4219195","","","","","BAJA","","ZONA NORTE","Iglesias Gustavo",""
"11902","AGRO-MADE SRL","CUIT","30714960047","03564-445-893","","","","","","","","",""
"12069","AGROANDINA S.A.","CUIT","30707124284","03825425648/03804456344","","CHILECITO","CHILECITO","LA RIOJA","","","","",""
"11700","AGROINDUSTRIA G C P S.A. (PATRICIO BURZANI)","CUIT","30673917212","(03471)28-710/(03471)43-7281/(03471)43-7282","","SANTA FE","LA CAPITAL","SANTA FE","","","CAPITAL FEDERAL","",""
"10563","AGROMETAL","CUIT","","(03468)47-1311/(03468)47-1321/(03468)47-1331","","MONTE MAIZ","UNION","CORDOBA","","CILINDRO HIDRAULICO","CAPITAL FEDERAL","",""
"12866","AGROMETAL SOC ANON IND","CUIT","30503087967","[]","","","","","","","","",""
"12206","AGROPARAMONGA","CUIT","","51994640292","","","","","","","","",""
"10467","AGROPARTES BENZI DE MATIAS BENZI","CUIT","20315359148","(0341)471-0931","benziagro@arnet.com.ar","GRANADERO BAIGORRIA","ROSARIO","SANTA FE","","ESTRUCTURAL","CAPITAL FEDERAL","",""
"11945","AGS EQUIPAMIENTOS S.A.","CUIT","30709144126","4709-9437","","","","","","","ZONA NORTE","",""
"12722","AGUARTEC","CUIT","30710882017","[]","a.dossantos","","","","","","ZONA SUR","Dos Santos Alejandro",""
"12977","AGUILAR MIELNIK ALEJANDRO MARTIN","CUIT","20318562726","[]","metales@multibujes.com.ar","","","","","","ZONA TRAFICAÑO","",""
"12154","AGUILAR Y CIA S.A.","CUIT","33630607049","(0261)464-2150","","VILLA NUEVA","GUAYMALLEN","MENDOZA","","","","",""
"10537","AGUILERA, ANSELMO","CUIT","20165331118","SINTELEFONO","","GLEW","ALMIRANTE BROWN","BUENOS AIRES","","","ZONA SUR","",""
"11996","AGUINOR SRL","CUIT","30690229222","4918-6233","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12837","AGUIRRE ROCIO ELIZABETH","CUIT","27406349379","[]","industrias.aguirre@gmail.com","","","","","","","Ramos Gervasio",""
"10457","AGUSTIN BERASATEGUI","CUIT","","0341-4570602/4560577/4560346","","ROSARIO","ROSARIO","SANTA FE","","ESTRUCTURAL","CAPITAL FEDERAL","",""
"11676","AHORA S.A.","CUIT","30710207034","0351-152638747/03572-489082","","LAGUNA LARGA","RIO SEGUNDO","CORDOBA","","","ZONA SUR","",""
"12304","AIASSA REPUESTOS AGRICOLAS S.R.L","CUIT","30708273259","0353-4537887","","VILLA MARIA","GENERAL SAN MARTIN","CORDOBA","","","","",""
"10226","AIR GNC","CUIT","","4281-7951","","MONTE GRANDE","GRANEROS","TUCUMAN","","","ZONA SUR","",""
"12203","AIR-TEC","CUIT","","","","","","","","","","",""
"10046","AIRCA S.A.C.I.F.A.","CUIT","30503986279","4241-05434240-7290","","ESCALADA, REMEDIOS DE","LANUS","BUENOS AIRES","","CIRCUITO HIDRAULICO","ZONA SUR","",""
"13058","AIRFRAN S.R.L","CUIT","30708009969","[]","","","","","","","","",""
"13058","AIRFRAN S.R.L","CUIT","30708009969","[]","","","","","","","","",""
"11734","AIRMETAL SRL","CUIT","","4651-0226/0913","","SAN JUSTO","LA MATANZA","BUENOS AIRES","","CILINDRO HIDRAULICO","ZONA TRAFICAÑO","",""
"12078","AISA S.A.","CUIT","30586382353","0291-4885212","","BAHIA BLANCA","BAHIA BLANCA","BUENOS AIRES","","CILINDRO HIDRAULICO","","",""
"11060","AKRON S.A.","CUIT","30521840486","(03564)42-5250","","SAN FRANCISCO","SAN JUSTO","CORDOBA","","","ZONA SUR","",""
"10742","ALADDIN","CUIT","","4502-5847","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"10538","ALADIO","CUIT","","","","LUQUE","RIO SEGUNDO","CORDOBA","","","CAPITAL FEDERAL","",""
"12595","ALBACE","CUIT","","[]","","","","","","","","",""
"12342","ALBAUGH","CUIT","30500658912","4721-3400/4721-7400","","","","","","","ZONA NORTE","",""
"11718","ALBERTI HECTOR MIGUEL (CALYTER)","CUIT","23183181149","4709-0805","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","ZONA NORTE","",""
"10461","ALBERTO G. MORO S.R.L.","CUIT","30673835976","03471-471505","","LAS PAREJAS","BELGRANO","SANTA FE","","","CAPITAL FEDERAL","",""
"11178","ALBERTO ONISZCZUK (TECNOAUTOMAT)","CUIT","20084361683","4241-1370","ventas@tecnoautomat.com","LANUS","LANUS","BUENOS AIRES","","","ZONA SUR","",""
"10939","ALBERTO PERALTA","CUIT","","","","","","","","","","",""
"10076","ALBINO CAPODACQUA S A","CUIT","30698983503","(0351)451-2550/(0351)452-0664/(0351)15-650-4855/(0351)15900-5063","capodacqua@arnet.com.ar","CORDOBA","CAPITAL","CORDOBA","","","CAPITAL FEDERAL","",""
"10047","ALBRONITE S.R.L.","CUIT","33502564469","042-30898042-44026","","SANTA FE","LA CAPITAL","SANTA FE","","PARA TREFILAR","CAPITAL FEDERAL","",""
"12778","ALCOHOLES DEL PLATA S.R.L","CUIT","30682808809","[]","","","","","","","","",""
"12695","ALDEBARAN RESOURCES","EN TRAMITE","00000000","[]","","","","","","","","",""
"11752","ALDENCAR DE CENEREI CLAUDIO (CODRA)","CUIT","20120851862","4208-5444","","LANUS","LANUS","BUENOS AIRES","","CUPLAS","ZONA SUR","",""
"12447","ALDERETE JULIO CESAR","CUIT","20116880688","3865444200","","CONCEPCION","CHICLIGASTA","TUCUMAN","","","","",""
"12509","ALDERETE JULIO CESAR","CUIT","20116880688","","","","","","","","ZONA SUR","",""
"12981","ALDO FABRIZI Y CIA. S.A.","CUIT","33676375029","261-497-2492 / 481-1277","","","","","","","ZONA TRAFICAÑO","",""
"10540","ALDO SARTORE Y OTRO","CUIT","30678712058","03543-429376","","CORDOBA","CAPITAL","CORDOBA","","","CAPITAL FEDERAL","",""
"10048","ALECAR DE ADELQUI ANTONIO CARAMELINO Y M","CUIT","30649606141","4250-1930","","QUILMES","QUILMES","BUENOS AIRES","","","ZONA SUR","",""
"10779","ALEJANDRO MASTRONARDI","CUIT","20223747788","0351-155465566","","LAS FLORES","CAPITAL","SANTIAGO DEL ESTERO","","","CAPITAL FEDERAL","",""
"12334","ALEJANDRO SEBASTIAN","CUIT","20293553131","1161882021","","","","","","","","",""
"12169","ALEPH MIDSTREAM S.A.","CUIT","30716231913","(0299)430-7354","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CILINDRO HIDRAULICO","","",""
"11558","ALERCIA HNOS.","CUIT","","","","CORDOBA","CAPITAL","CORDOBA","","","","",""
"10505","ALETADOS SUR","CUIT","33654631749","4824-4688/4821-0115","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","GNC","CAPITAL FEDERAL","",""
"11146","ALETAR S.A.","CUIT","33708145179","4761-1212/4760-1400/4709-5964","alfredo@aletar.com.ar","FLORIDA","VICENTE LOPEZ","BUENOS AIRES","","GNC","ZONA NORTE","",""
"10049","ALETUB S.A.","CUIT","","4635-6208/4187/6056","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","GNC","CAPITAL FEDERAL","",""
"10541","ALEU MARINO EDUARDO","CUIT","20040459082","","","MERLO","JUNIN","SAN LUIS","","","ZONA OESTE","",""
"12995","ALFA LAVAL S.A.","CUIT","30500639497","9 7079-5040 / 9 7079-5040 / 9 7079-5040","alfa.consulta@alfalaval.com","","","","","PARA CALDERAS","ZONA TRAFICAÑO","",""
"11673","ALFIO PAPONNET","CUIT","","03472-15629394","","","","","","ESTRUCTURAL","","",""
"10494","ALFREDO E. JUDA","CUIT","","4798-3793/4793-6024","info@alfredojuda.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"11343","ALGODONERA AVELLANEDA SA","CUIT","30595124049","03482-481149Int:146","","","","","","","","",""
"12317","ALGOMEC SRL","CUIT","33625765949","4254-3353/2143-2705","","QUILMES","QUILMES","BUENOS AIRES","","","","",""
"12254","ALICORP","CUIT","","4876-4000(int485454)","","SAN JUSTO","LA MATANZA","BUENOS AIRES","","","","",""
"11717","ALLEMANNI RAUL ALBERTO","CUIT","20116405580","(0299)444-1306/(0299)444-1318","","NEUQUEN","CONFLUENCIA","NEUQUEN","","","ZONA SUR","",""
"11220","ALLENDE OSCAR ALBERTO","CUIT","20180155377","0351-4654360","metalurgicaallende@argentina.com","CORDOBA","CAPITAL","CORDOBA","","","CAPITAL FEDERAL","",""
"12496","ALLKEM LIMITED","CUIT","","1126195570","","","","","","","CAPITAL FEDERAL","",""
"12308","ALLOCCO (MAPCA S.A.)","CUIT","30708264888","0341-492-1910","","VILLA GOBERNADOR GALVEZ","ROSARIO","SANTA FE","","","","",""
"12842","ALLOCHIS","CUIT","30714552100","[]","","","","","","","","",""
"11233","ALMACEN NAVAL PITRE S.R.L.","CUIT","30516224939","4301-0605/4302-3971","pitre@speedy.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"11769","ALMACENES PETROLEROS SRL","CUIT","30536830878","(0297)446-5718","","COMODORO RIVADAVIA","ESCALANTE","CHUBUT","","CILINDRO HIDRAULICO","ZONA SUR","",""
"13041","ALMAGAS SRL","CUIT","33707276679","[]","","","","","","","","",""
"11345","ALPECO SRL","CUIT","30708822996","0299-4489863/4486317","","","","","","","","",""
"11318","ALPES SRL","CUIT","","4208-8143","","","","","","","","",""
"11758","ALPROMAT SRL","CUIT","30710840144","4253-1483/4257-8839","","QUILMES","QUILMES","BUENOS AIRES","","","ZONA SUR","",""
"11539","ALS S.R.L. (ALF)","CUIT","30688172515","4282-3353","","LOMAS DE ZAMORA","LOMAS DE ZAMORA","BUENOS AIRES","","CIRCUITO HIDRAULICO","ZONA SUR","",""
"11142","ALTA TECNOLOGIA HIDRAULICA S.A.","CUIT","30710367600","4249-5770","info@hidromec-hidraulica.com.ar","LANUS","LANUS","BUENOS AIRES","","","ZONA SUR","",""
"11420","ALTAMIRANO MAQUINARIAS S.A.","CUIT","30707778071","[]","","JUNIN","JUNIN","BUENOS AIRES","","","ZONA SUR","",""
"12860","ALTINA S.A","CUIT","30504751429","03406-15-426306 /15 7894 3046/ 03564 492 235","","","","","BAJA","","ZONA TRAFICAÑO","Iglesias Gustavo",""
"12346","ALUAR","CUIT","30522780606","4725-8000ext2059","","","","","","","","",""
"12403","ALVARO SIMON AGUILERA SEGOVIA","CUIT","94409303","+549387330-9685","","LOMAS DE ZAMORA","LOMAS DE ZAMORA","BUENOS AIRES","","","","",""
"11376","ALYABAL S.R.L.","CUIT","30709142212","02362-42919","","JUNIN","JUNIN","BUENOS AIRES","","","","",""
"11177","ALYCO SRL","CUIT","30661367039","4682-4712/4682-4423","alycoalyco@yahoo.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CILINDRO HIDRAULICO","CAPITAL FEDERAL","",""
"13026","AMADEO MARAÑON SA","CUIT","30504560992","[]","","","","","","","","Errandonea Sebastian",""
"10542","AMALIK S.A.","CUIT","30687646637","4384-8525","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12713","AMEGHINO SERVICIOS INDUSTRIALES","CUIT","30707850724","[]","","CAMPANA","CAMPANA","BUENOS AIRES","","","","",""
"10877","AMERICA AUTOPIEZAS","CUIT","","4635-3594/4682-6458","braext@ciudad.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CIRCUITO HIDRAULICO","CAPITAL FEDERAL","",""
"12919","AMERICAN BURNERS SA","CUIT","30711538859","[]","m.recalde","","","","","","","",""
"12251","AMERICAN PIPES S.A.","CUIT","30710052960","1562219456/4308-1855/4308-6041/4652-4070/4652-4169/1562219456","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CILINDRO HIDRAULICO","ZONA SUR","",""
"12353","AMIGOS DE ACERO S.A.","CUIT","30715117998","152721-4455","","AVELLANEDA","AVELLANEDA","BUENOS AIRES","","","ZONA SUR","",""
"12684","AMISA","SIN IDENTIFICAR","99990999","[]","","","","","","","","",""
"10846","AMISUR","CUIT","","","","","","","","","","",""
"10261","AMITRANO EDUARDO","CUIT","20140702294","4207-6879/2615","","SARANDI","AVELLANEDA","BUENOS AIRES","","","ZONA SUR","",""
"11417","AMMATURO S.A.","CUIT","30557469881","4270-2828","","","","","","","ZONA SUR","",""
"10764","AMOROSO FRANCISCO","CUIT","20152465204","4441-8078","","SAN JUSTO","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"10425","AMORTIGUADORES LOUZAO (CONSTRUCCIONES HEDIR SA)","CUIT","30714216488","4568-8024/4566-5541","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","CONDUIT","CAPITAL FEDERAL","",""
"10427","AMORTIGUADORES SADAR S.A.","CUIT","30503252704","4767-2400(FAB)/4768-1022(FAB)/(0237)466-9020(ADM)","","SAN ANDRES","GENERAL SAN MARTIN","BUENOS AIRES","","CONDUIT","ZONA NORTE","",""
"12061","AMORTIGUADORES TRS","CUIT","","","","","","","","","","",""
"11412","ANCA","CUIT","","4709-3008/9","","","","","","","","",""
"11209","ANDERSCH INGENIERIA SRL","CUIT","30707177558","4725-1665/4725-1681/4725-1687","gustavo@anderschingenieria.com.ar","SAN FERNANDO","COLON","CORDOBA","","","ZONA NORTE","",""
"11059","ANDRES MORETTI  E HIJOS S.A.","CUIT","30615773383","4943-1864/4943-0363/4103-4500/4942-8776(MARTIN)","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12102","ANDRES RICARDO BERTOYA","CUIT","20283569900","03467-15498639","","CRUZ ALTA","MARCOS JUAREZ","CORDOBA","","","","",""
"11243","ANGEL Y FRANCISCO FONTANET SRL","CUIT","33500705529","(03492)50-4800","compras@calderasfontanet.com.ar","RAFAELA","CASTELLANOS","SANTA FE","","","CAPITAL FEDERAL","",""
"11464","ANHOR CO2","CUIT","20216243235","4281-8475","anhorornco2@hotmail.com","","","","","","ZONA SUR","",""
"11642","ANLOSILE S.A.","CUIT","30710703104","(0381)4262888","","","","","","CONDUCCION","","",""
"12706","ANSBOR SRL","CUIT","30711025312","[]","","","","","","","","",""
"12324","ANSONNAUD RICARDO SIXTO(INGENIO LA TRINIDAD)","CUIT","20128694626","","","","","","","","","",""
"11624","ANTONIO PODRZAJ E HIJOS SRL","CUIT","30505166414","47690581/1653/15-78752039/11-73955705","","","","","","CILINDRO HIDRAULICO","ZONA NORTE","",""
"10813","ANTONIO R. MONTICH Y CIA SA","CUIT","","0351-456-2061","mkrayeski@montichsa.com.a","CORDOBA","CAPITAL","CORDOBA","","CIRCUITO HIDRAULICO","CAPITAL FEDERAL","",""
"11246","ANZUC S.R.L.","CUIT","30710982208","(03865)49-1032/(0381)421-6515/(0381)421-6566","","CHICLIGASTA","CHICLIGASTA","TUCUMAN","","","","",""
